matricula  U.E.A. Trim Ev. Cal Plan
 209222253 2300034 09O GLO. EQ  56
 209222253 2331062 10P GLO. EQ  56
 209222253 2255065 10O GLO. EQ  56
 209222253 2900057 10O GLO. EQ  56
 209222253 2331063 11I GLO. EQ  56
 209222253 2332059 11O REC. EQ  56
 209222253 2112013 13I GLO. NA  56 BC51
 209222253 2132075 13I GLO. NA  56 BB04
 209222253 2331065 13I GLO. S   56 BD08
 209222253 2331067 13I GLO. NA  56 BF58
 209222253 2112013 13P GLO. S   56 BB52
 209222253 2132075 13P GLO. NA  56 BB04
 209222253 2331061 13O GLO. NA  56 BB08C
 209222253 2331064 13O GLO. NA  56 BC08
 209222253 2331061 14I GLO. B   56 BB58A
 209222253 2331064 14I GLO. NA  56 BC07
 209222253 2132075 14P REC. S   56 J32075
 209222253 2331066 14P GLO. NA  56 BE08
 209222253 2132060 14O GLO. S   56 BC03
 209222253 2132062 14O REC. B   56 J32062
 209222253 2122081 15I GLO. NA  56 BC02
 209222253 2132061 15I GLO. S   56 BD51
 209222253 2331066 15I GLO. B   56 BE07
 209222253 2122081 15P GLO. S   56 BC51
 209222253 2122082 15P GLO. NA  56 BF01
 209222253 2331067 15P GLO. MB  56 BF07
 209222253 2132064 15O GLO. NA  56 BG01
 209222253 2141025 15O GLO. NA  56 BD51
 209222253 2141025 16I GLO. S   56 BD02
 209222253 2132063 16P GLO. B   56 BF51
 209222253 2132064 16P GLO. S   56 BG02
 209222253 2141026 16P GLO. B   56 BE01
 209222253 2255064 16P REC. S   56 J55064
 209222253 2122082 16O GLO. NA  56 BF01
 209222253 2132065 16O GLO. S   56 BH01
 209222253 2331073 16O GLO. S   56 BI08
 209222253 2332062 17I GLO. MB  56 BG58
 209222253 2332083 17I GLO. S   56 BJ08
 209222253 2122082 17P REC. NA  56 J22082
 209222253 2331076 17P GLO. MB  56 BK08
 209222253 2332060 17P GLO. NA  56 BH08
 209222253 2332080 17P GLO. NA  56 BG08
 209222253 2332060 17O GLO. NA  56 BH08
 209222253 2332086 17O GLO. B   56 BK07
 209222253 2242036 18I GLO. S   56 HD52
 209222253 2331072 18I GLO. B   56 BH08
 209222253 2332074 18I GLO. NA  56 BG08
 209222253 2332080 18I GLO. S   56 BG08
 209222253 2212035 18P GLO. B   56 HH52
 209222253 2293089 18P GLO. MB  56 HH01ED
 209222253 2332074 18P REC. NA  56 J32074
 209222253 2332075 18P GLO. S   56 BG08
 209222253 2255066 18O GLO. S   56 HF02
 209222253 2312056 18O GLO. S   56 BB51
 209222253 2332064 18O GLO. B   56 BG08
 209222253 2352016 18O GLO. S   56 BL55
 209222253 2352017 18O GLO. MB  56 BL05
 209222253 2122082 19I REC. B   56 J22082
 209222253 2332089 19I GLO. B   56 BK08
 209222253 2352015 19I GLO. NA  56 BL55
 209222253 2332060 19P REC. B   56 J32060
 209222253 2122083 19P REC. B   56 J22083
 209222253 2332088 19O GLO. NA  56 BK08
 209222253 2331074 19O GLO. S   56 BI58
 209222253 2122084 19O GLO. NA  56 BG51
 209222253 2122084 19O REC. S   56 J22084
 209222253 2331075 20I GLO. MB  56 BJ58
 209222253 2332074 20I GLO. MB  56 BG08
 209222253 2331077 20I REC. B   56 J31077
 209222253 2331068 20P GLO. B   56 BK58
 209223063 2300033 09P GLO. EQ  56
 209223063 2300034 09P GLO. EQ  56
 209223063 2300035 09P GLO. EQ  56
