matricula  U.E.A. Trim Ev. Cal Plan
 209222554 2300033 09P GLO. EQ  54
 209222554 2300034 09P GLO. EQ  54
 209222554 2300035 09P GLO. EQ  54
 209222554 2255064 09O GLO. EQ  54
 209222554 2255066 10P REC. EQ  54
 209222554 2341086 10P REC. EQ  54
 209222554 2341093 10O GLO. EQ  54
 209222554 2352035 11O REC. EQ  54
 209222554 2342000 12P GLO. EQ  54
 209222554 2900053 12P GLO. EQ  54
 209222554 2341089 12O GLO. EQ  54
 209222554 2351077 13I GLO. MB  54 BC55
 209222554 2352038 13I GLO. NA  54 BC01
 209222554 2352034 13P GLO. B   54 BF01
 209222554 2351074 13P REC. MB  54 J51074
 209222554 2255065 13O GLO. NA  54 HE04
 209222554 2255065 14I GLO. S   54 HE09
 209222554 2312060 14P GLO. MB  54 BF05
 209222554 2342006 14P GLO. NA  54 BI52
 209222554 2312082 14O GLO. B   54 BG55A
 209222554 2352036 14O GLO. MB  54 BF01
 209222554 2351075 15I GLO. NA  54 BB05
 209222554 2352038 15I GLO. S   54 BC01
 209222554 2351078 15P GLO. MB  54 BE55A
 209222554 2312048 15O GLO. NA  54 BB51A
 209222554 2351075 15O GLO. S   54 BB05
 209222554 2351082 15O GLO. NA  54 BG05
 209222554 2321089 15O REC. MB  54 J21089
 209222554 2351082 15O REC. NA  54 J51082
 209222554 2255317 16I GLO. MB  54 BA01
 209222554 2312063 16I GLO. NA  54 BH01
 209222554 2351076 16I REC. MB  54 J51076
 209222554 2351080 16P GLO. S   54 BF55
 209222554 2351087 16P GLO. S   54 BI05
 209222554 2255147 16O GLO. NA  54 HJ01
 209222554 2351084 16O GLO. NA  54 BH05
 209222554 2241089 17I GLO. NA  54 HB02
 209222554 2351083 17I GLO. B   54 BH05A
 209222554 2351084 17I GLO. S   54 BH05
 209222554 2293031 17I REC. B   54 J93031
 209222554 2293016 17P GLO. NA  54 HC01
 209222554 2351079 17P GLO. S   54 BF55
 209222554 2351081 17P GLO. B   54 BG55
 209222554 2351082 17P GLO. S   54 BG05
 209222554 2351090 17P GLO. S   54 BJ05
 209222554 2351085 17O GLO. NA  54 BH05
 209222554 2351089 17O GLO. S   54 BJ05
 209222554 2352015 17O GLO. NA  54 BL55
 209222554 2351085 18I GLO. NA  54 BH05
 209222554 2351086 18I GLO. B   54 BI05
 209222554 2351091 18I GLO. MB  54 BJ05P
 209222554 2352004 18I GLO. S   54 BJ05
 209222554 2321088 18I REC. MB  54 J21088
 209222554 2351085 18I REC. NA  54 J51085
 209222554 2255101 18P GLO. B   54 HA51
 209222554 2351092 18P GLO. MB  54 BK05P
 209222554 2351096 18P GLO. S   54 BK05
 209222554 2352031 18P GLO. MB  54 BL05
 209222554 2351097 18P REC. MB  54 J51097
 209222554 2000014 18O GLO. B   54 MDEX251
 209222554 2321090 18O GLO. NA  54 BG06A
 209222554 2351093 18O GLO. MB  54 BL05M
 209222554 2352017 18O GLO. NA  54 BL05
 209222554 2352033 18O GLO. NA  54 BL05
 209222554 2312063 19I GLO. NA  54 BH51
 209222554 2352014 19I GLO. S   54 BL05
 209222554 2352030 19I GLO. MB  54 BL05
 209222554 2312061 19O GLO. NA  54 BH01
 209222554 2312066 19O GLO. S   54 BI51
 209222554 2321082 20I GLO. MB  54 BI06A
 209222554 2352032 20I GLO. MB  54 BL55
 209222554 2351085 20O REC. S   54 J51085
 209222693 2300033 09P GLO. EQ  54
 209222693 2300034 09P GLO. EQ  54
 209222693 2300035 09P GLO. EQ  54
 209222693 2255064 09O GLO. EQ  54
 209222693 2341086 10I REC. EQ  54
 209222693 2255066 10P REC. EQ  54
 209222693 2341093 10O GLO. EQ  54
 209222693 2342000 11P GLO. EQ  54
 209222693 2900053 11P GLO. EQ  54
 209222693 2352035 11O REC. EQ  54
