matricula  U.E.A. Trim Ev. Cal Plan
 209222693 2341089 13I GLO. S   54 BC05
 209222693 2351077 13I REC. MB  54 J5177
 209222693 2351074 13P REC. MB  54 J51074
 209222693 2352034 13P GLO. B   54 BF01
 209222693 2255065 13O GLO. S   54 HE04
 209222693 2312060 13O GLO. NA  54 BF55
 209222693 2312060 14P GLO. MB  54 BF05
 209222693 2312082 14O GLO. B   54 BG55A
 209222693 2352036 14O GLO. MB  54 BF01
 209222693 2351075 15I GLO. S   54 BB05
 209222693 2352038 15I GLO. NA  54 BC01
 209222693 2351078 15P GLO. MB  54 BE55A
 209222693 2312048 15O GLO. S   54 BB51A
 209222693 2351082 15O GLO. NA  54 BG05
 209222693 2321089 15O REC. MB  54 J21089
 209222693 2351082 15O REC. S   54 J51082
 209222693 2351087 16I GLO. B   54 BI55
 209222693 2351076 16I REC. MB  54 J51076
 209222693 2351080 16P GLO. S   54 BF55
 209222693 2351079 16P GLO. S   54 BF05
 209222693 2351089 16O GLO. S   54 BJ05
 209222693 2351084 16O GLO. NA  54 BH05
 209222693 2351083 17I GLO. S   54 BH05A
 209222693 2351084 17I GLO. B   54 BH05
 209222693 2352015 17I GLO. MB  54 BL55
 209222693 2293031 17I REC. B   54 J93031
 209222693 2351081 17P GLO. B   54 BG55
 209222693 2352012 17P GLO. NA  54 BK05
 209222693 2351090 17P GLO. S   54 BJ05
 209222693 2351086 17P GLO. MB  54 BI55
 209222693 2352038 17O GLO. NA  54 BD05
 209222693 2293093 17O GLO. NA  54 HG01
 209222693 2351085 17O GLO. NA  54 BH05
 209222693 2351091 18I GLO. MB  54 BJ05P
 209222693 2352011 18I GLO. B   54 BL55
 209222693 2255317 18I REC. B   54 J55317
 209222693 2351085 18I REC. NA  54 J51085
 209222693 2000014 18P GLO. B   54 MDEX251
 209222693 2352031 18P GLO. MB  54 BL05
 209222693 2351096 18P GLO. MB  54 BK05
 209222693 2351092 18P GLO. MB  54 BK05P
 209222693 2352016 18O GLO. NA  54 BL55
 209222693 2351085 18O GLO. NA  54 BH05
 209222693 2351093 18O GLO. MB  54 BL05P
 209222693 2352004 18O GLO. S   54 BJ05
 209222693 2000006 18O GLO. B   54 MDEX301
 209222693 2312058 19I GLO. NA  54 BG01
 209222693 2352030 19I GLO. MB  54 BL05
 209222693 2352027 19O GLO. B   54 BL55
 209222693 2312061 19O GLO. NA  54 BH01
 209222693 2352038 19O REC. MB  54 J52038
 209222693 2321082 20I GLO. MB  54 BI06A
 209222693 2351085 20O REC. S   54 J51085
 209312757 2255066 11I GLO. EQ  25
 209312757 2255065 12O GLO. EQ  54
 209312757 2300034 12O GLO. EQ  54
 209312757 2300035 12O GLO. EQ  54
 209312757 2300033 13I GLO. B   54 BA02
 209312757 2352035 13I GLO. B   54 BA02
 209312757 2341086 13P GLO. NA  54 BB02
 209312757 2352034 13P GLO. B   54 BF01
 209312757 2352036 13P GLO. B   54 BF01
 209312757 2351075 13O GLO. B   54 BB05
 209312757 2351077 13O GLO. MB  54 BC05
 209312757 2351087 13O GLO. B   54 BI05
 209312757 2341086 14I REC. B   54 J41086
 209312757 2351084 14I GLO. B   54 BH05
 209312757 2312060 14P GLO. B   54 BF05
 209312757 2321089 14P REC. MB  54 J21089
 209312757 2351074 14P GLO. NA  54 BD05
 209312757 2312082 14O GLO. B   54 BG05
 209312757 2341093 14O GLO. B   54 BD05
 209312757 2342000 15I GLO. NA  54 BE05
 209312757 2351074 15I REC. B   54 J51074
 209312757 2341089 15P GLO. B   54 BC05
 209312757 2351090 15P GLO. MB  54 BJ05
 209312757 2351076 15O GLO. NA  54 BE05
 209312757 2351082 15O GLO. S   54 BG05
 209312757 2352038 15O GLO. NA  54 BD05
 209312757 2312062 16I GLO. NA  54 BH01
 209312757 2351078 16I REC. S   54 J51078
 209312757 2312087 16P REC. B   54 J12087
 209312757 2342000 16P GLO. MB  54 BD01
 209312757 2351080 16P GLO. B   54 BF05
 209312757 2351085 16O GLO. S   54 BH05
 209312757 2351089 16O GLO. B   54 BJ05
 209312757 2352038 16O GLO. S   54 BD05
 209312757 2312057 17I GLO. MB  54 BF01
 209312757 2312061 17I GLO. B   54 BH01
 209312757 2312062 17I GLO. B   54 BH01
 209312757 2351076 17I GLO. S   54 BE05
 209312757 2351088 17I GLO. B   54 BI05
 209312757 2351079 17P GLO. NA  54 BF05
 209312757 2351081 17P GLO. B   54 BG05
 209312757 2351096 17P GLO. NA  54 BK05
 209312757 2351091 17O GLO. NA  54 BJ05F
 209312757 2352033 17O GLO. S   54 BL05
 209312757 2351079 18I GLO. S   54 BF05
 209312757 2351083 18I GLO. NA  54 BH05A
 209312757 2351091 18I GLO. MB  54 BJ05H
 209312757 2352025 18I GLO. NA  54 BL05
 209312757 2351092 18P GLO. MB  54 BK05G
 209312757 2351083 18O GLO. S   54 BH05
 209312757 2351093 18O GLO. MB  54 BL05F
 209312757 2352022 18O GLO. NA  54 BJ05
 209312757 2352024 18O GLO. S   54 BL05
 209312757 2312058 19I GLO. NA  54 BG01
 209312757 2351086 19I GLO. S   54 BI05
 209312757 2351099 19I REC. MB  54 J51099
 209312757 2352014 19I GLO. NA  54 BL05
 209312757 2352032 19I GLO. NA  54 BL55
 209312757 2312063 19P GLO. NA  54 BH01
 209312757 2352031 19P GLO. MB  54 BL05
 209318583 2300033 09O GLO. EQ  54
 209318583 2300034 09O GLO. EQ  54
 209318583 2255066 10I GLO. EQ  54
 209318583 2255065 10P GLO. EQ  54
 209318583 2351077 10O GLO. EQ  54
 209318583 2352034 10O GLO. EQ  54
 209318583 2900078 11I GLO. EQ  54
 209318583 2351078 12P GLO. EQ  54
 209318583 2351080 12O REC. EQ  54
 209318583 2351076 13I GLO. MB  54 BE55
 209318583 2351084 13I REC. MB  54 J5184
 209318583 2352035 13I GLO. S   54 BA01
 209318583 2351074 13P GLO. MB  54 BD05
 209318583 2351075 13P GLO. NA  54 BB05
 209318583 2351083 13P GLO. S   54 BH05
 209318583 2351079 13O GLO. S   54 BF55
 209318583 2351081 13O GLO. MB  54 BG05
 209318583 2351082 13O GLO. S   54 BG05
 209318583 2351086 14I GLO. S   54 BI05
 209318583 2351087 14I REC. B   54 J51087
 209318583 2352036 14I GLO. MB  54 BC01
 209318583 2300035 14P GLO. NA  54 BA53A
 209318583 2300035 14P REC. NA  54 J00035
 209318583 2312060 14P GLO. MB  54 BF05
 209318583 2341091 14P GLO. B   54 BC52
 209318583 2351075 14P GLO. NA  54 BB05
 209318583 2351075 14P REC. NA  54 J51075
 209318583 2300035 14O GLO. MB  54 BA51A
 209318583 2341090 14O GLO. NA  54 BC02
 209318583 2351075 14O REC. B   54 J51075
 209318583 2242036 15I GLO. NA  54 HD52
 209318583 2341086 15I GLO. S   54 BB01
 209318583 2351090 15I GLO. MB  54 BJ55
 209318583 2341093 15P GLO. NA  54 BD05
 209318583 2351089 15P GLO. NA  54 BJ05
 209318583 2255101 15O GLO. NA  54 HA01
 209318583 2281081 15O GLO. NA  54 HH02
 209318583 2255413 16I GLO. NA  54 HA01
 209318583 2312052 16I GLO. NA  54 BB01
 209318583 2342005 16I GLO. B   54 BH52
 209318583 2255143 16P GLO. NA  54 HJ51
 209318583 2255413 16P GLO. NA  54 HA01
 209318583 2255413 16P REC. B   54 J55413
 209318583 2312052 16P REC. S   54 J12052
 209318583 2255101 16O GLO. NA  54 HA01
 209318583 2321088 17I REC. MB  54 J21088
 209318583 2341090 17I GLO. NA  54 BC52
 209318583 2341093 17I GLO. S   54 BD01A
 209318583 2352026 17P GLO. NA  54 BK05
 209318583 2341089 17O GLO. NA  54 BC01
 209318583 2352016 17O GLO. MB  54 BL55
 209318583 2352024 17O GLO. S   54 BL05
 209318583 2341089 18I GLO. NA  54 BC05
 209318583 2351096 18I REC. S   54 J51096
 209318583 2352011 18I GLO. B   54 BL55
 209318583 2352015 18I GLO. S   54 BL55
 209318583 2352032 18I GLO. B   54 BL55
 209318583 2294010 18P GLO. NA  54 HH02
 209318583 2342000 18P GLO. NA  54 BD01
 209318583 2351089 18P GLO. S   54 BJ55
 209318583 2000005 18O GLO. MB  54 MDEX201
 209318583 2342000 18O GLO. S   54 BE05
 209318583 2242036 19I GLO. NA  54 HA53
 209318583 2293093 19I GLO. NA  54 HH02
 209318583 2312082 19I GLO. NA  54 BI01
 209318583 2000004 19P GLO. S   54 MDEX302
 209318583 2294010 19P GLO. MB  54 HH02
 209318583 2341089 20P REC. MB  54 J41089
 209318583 2352038 20O GLO. MB  54 BD55
 210221139 2300033 10P GLO. EQ  54
 210221139 2300034 10P GLO. EQ  54
 210221139 2300035 10P GLO. EQ  54
 210221139 2352035 10P GLO. EQ  54
 210221139 2900051 10O GLO. EQ  54
 210221139 2352034 11I GLO. EQ  54
 210221139 2255066 11P GLO. EQ  54
 210221139 2341086 11P GLO. EQ  54
 210221139 2351074 11O REC. EQ  54
 210221139 2900056 11O GLO. EQ  54
 210221139 2255065 12I GLO. EQ  54
 210221139 2341089 12I GLO. EQ  54
 210221139 2341093 12I GLO. EQ  54
 210221139 2900078 12I GLO. EQ  54
 210221139 2351077 12P GLO. EQ  54
 210221139 2351078 12P GLO. EQ  54
 210221139 2900075 12P GLO. EQ  54
 210221139 2351079 12O GLO. EQ  54
 210221139 2351080 12O GLO. EQ  54
 210221139 2342000 13I GLO. NA  54 BD51
 210221139 2351084 13I REC. MB  54 J5184
 210221139 2352038 13I GLO. NA  54 BD55
 210221139 2312057 13P GLO. MB  54 BF01
 210221139 2352036 13P GLO. NA  54 BF01
 210221139 2352038 13P GLO. S   54 BD55
 210221139 2312089 13O GLO. NA  54 BE01
 210221139 2342000 13O GLO. NA  54 BE05
 210221139 2352036 13O GLO. B   54 BC01
 210221139 2255183 14I GLO. B   54 HA52
 210221139 2351076 14I GLO. B   54 BE55
 210221139 2351081 14P GLO. MB  54 BG55
 210221139 2351087 14P GLO. NA  54 BI05
 210221139 2000004 14O GLO. NA  54 MDEX251
 210221139 2351075 14O GLO. B   54 BB55
 210221139 2351083 14O GLO. S   54 BH55
 210221139 2242036 15I GLO. NA  54 HD52
 210221139 2312060 15I GLO. NA  54 BF05
 210221139 2351086 15I GLO. B   54 BI05
 210221139 2312060 15P GLO. B   54 BF55
 210221139 2294010 15P GLO. NA  54 HK02ED
 210221139 2351082 15P GLO. NA  54 BG05
 210221139 2312082 15O GLO. NA  54 BG05
 210221139 2211075 15O GLO. S   54 HA51
 210221139 2000006 15O GLO. MB  54 MDEX202
 210221139 2000007 15O GLO. S   54 MDEX201
 210221139 2352032 16I GLO. NA  54 BL05
 210221139 2351087 16I GLO. NA  54 BI05
 210221139 2352014 16I GLO. S   54 BL05
 210221139 2352015 16I REC. MB  54 J52015
 210221139 2351087 16I REC. NA  54 J51087
 210221139 2312052 16P GLO. NA  54 BB01
 210221139 2352026 16P GLO. NA  54 BK55
 210221139 2352023 16P REC. MB  54 J52023
 210221139 2352024 16P REC. MB  54 J52024
 210221139 2312058 16O GLO. NA  54 BG51
 210221139 2312062 17I GLO. NA  54 BH51
 210221139 2351099 17I GLO. B   54 BJ55
 210221139 2312082 17P GLO. NA  54 BG05
 210221139 2312090 17P REC. MB  54 J12090
 210221139 2312048 17O GLO. NA  54 BB51
 210221139 2312063 18I GLO. NA  54 BH51
 210221139 2312048 18O GLO. NA  54 BB51
 210221139 2342000 20I REC. B   54 J42000
 210221139 2351087 20I REC. MB  54 J51087
 210221139 2351089 20P GLO. S   54 BJ05
 210221139 2351090 20P GLO. B   54 BJ05
 210221139 2351082 20P REC. B   54 J51082
 210221139 2312058 20O REC. B   54 J12058
 210221139 2321089 20O REC. MB  54 J21089
 210221480 2300033 10P GLO. EQ  54
 210221480 2300034 10P GLO. EQ  54
 210221480 2300035 10P GLO. EQ  54
 210221480 2352035 10P GLO. EQ  54
 210221480 2255066 10O GLO. EQ  54
 210221480 2341086 10O GLO. EQ  54
 210221480 2351074 11I GLO. EQ  54
 210221480 2900056 11I GLO. EQ  54
 210221480 2352036 12I GLO. EQ  54
 210221480 2900078 12P GLO. EQ  54
 210221480 2900077 12O GLO. EQ  54
 210221480 2341089 13I GLO. S   54 BC52
 210221480 2351080 13I GLO. NA  54 BF05
 210221480 2312057 13P GLO. MB  54 BF51
 210221480 2341093 13P GLO. B   54 BD01
 210221480 2312060 13O GLO. MB  54 BF55
 210221480 2342000 13O GLO. S   54 BE05
 210221480 2351077 13O GLO. MB  54 BC05
 210221480 2352034 13O GLO. B   54 BF01
 210221480 2312079 14I GLO. NA  54 BE01
 210221480 2351075 14I GLO. B   54 BB05
 210221480 2351078 14I GLO. MB  54 BE55
 210221480 2241089 14P GLO. NA  54 HB51
 210221480 2242036 14P GLO. NA  54 HA51
 210221480 2352038 14P GLO. NA  54 BE55
 210221480 2255317 14O GLO. S   54 BA02
 210221480 2312063 14O GLO. B   54 BH01
 210221480 2312082 14O GLO. B   54 BG05
 210221480 2331068 15I GLO. B   54 BK58A
 210221480 2351084 15I GLO. B   54 BH55
 210221480 2351085 15I GLO. S   54 BH05
 210221480 2351080 15P GLO. MB  54 BF55
 210221480 2293036 15P GLO. NA  54 HF01
 210221480 2351082 15P GLO. B   54 BG55
 210221480 2352038 15O GLO. B   54 BD55
 210221480 2351087 16I GLO. MB  54 BI05
 210221480 2351088 16I GLO. B   54 BI05
 210221480 2000014 16I GLO. S   54 MDEX201
 210221480 2321082 16I GLO. MB  54 BI06B
 210221480 2352004 16I GLO. B   54 BL55
 210221480 2351090 16P GLO. NA  54 BJ05
 210221480 2255101 16P GLO. MB  54 HA51
 210221480 2352023 16P GLO. MB  54 BK05
 210221480 2352024 16P GLO. MB  54 BK55
 210221480 2352012 16P GLO. S   54 BK05
 210221480 2351089 16P GLO. NA  54 BJ05
 210221480 2351090 16O GLO. B   54 BJ05
 210221480 2352015 16O GLO. MB  54 BL55
 210221480 2352018 16O GLO. NA  54 BJ55
 210221480 2351089 16O GLO. S   54 BJ05
 210221480 2321088 17I GLO. S   54 BE06
 210221480 2352029 17I GLO. B   54 BL55
 210221480 2351076 17I GLO. MB  54 BE55
 210221480 2351079 17P GLO. S   54 BF55
 210221480 2351081 17P GLO. MB  54 BG05
 210221480 2312058 17O GLO. NA  54 BG01A
 210221480 2351091 17O GLO. NA  54 BJ05M
 210221480 2351083 17O GLO. B   54 BH05
 210221480 2351086 18I GLO. NA  54 BI05
 210221480 2351091 18I GLO. MB  54 BJ05P
 210221480 2351092 18O GLO. B   54 BK05S
 210221480 2351093 19I GLO. B   54 BL05M
 210221480 2351086 19I GLO. B   54 BI05
 210221480 2312058 19P GLO. NA  54 BG51
 210221480 2312062 19O GLO. NA  54 BH01A
 210221901 2300035 10P GLO. EQ  54
 210221901 2255065 10O GLO. EQ  54
 210221901 2300034 10O GLO. EQ  54
 210221901 2255066 11I GLO. EQ  54
 210221901 2300033 11I GLO. EQ  54
 210221901 2900056 11P GLO. EQ  54
 210221901 2352034 11O GLO. EQ  54
 210221901 2312060 14P GLO. MB  54 BF55
 210221901 2351087 14P GLO. NA  54 BI05
 210221901 2312063 14O GLO. NA  54 BH01
 210221901 2312082 14O GLO. MB  54 BG55A
 210221901 2341086 14O GLO. B   54 BB52
 210221901 2312052 15I GLO. B   54 BB01
 210221901 2341089 15I GLO. NA  54 BC51
 210221901 2351077 15I GLO. NA  54 BC05
 210221901 2351087 15I GLO. MB  54 BI05
 210221901 2351077 15P GLO. B   54 BC55
 210221901 2352035 15P GLO. B   54 BE51
 210221901 2312087 15O GLO. NA  54 BI01A
 210221901 2351075 15O GLO. B   54 BB05
 210221901 2341089 16I GLO. B   54 BC05
 210221901 2351084 16I GLO. B   54 BH05
 210221901 2352036 16I GLO. MB  54 BC51
 210221901 2341093 16P GLO. NA  54 BD05
 210221901 2351074 16P GLO. NA  54 BD05
 210221901 2352038 16P GLO. S   54 BD55
 210221901 2312048 16O GLO. NA  54 BB51
 210221901 2341093 16O GLO. S   54 BD51A
 210221901 2342000 17I GLO. S   54 BE05
 210221901 2351076 17I GLO. S   54 BE55
 210221901 2351085 17I GLO. S   54 BH05
 210221901 2312066 17P GLO. B   54 BI51
 210221901 2351074 17P GLO. B   54 BD55
 210221901 2351088 17P GLO. NA  54 BI05
 210221901 2351082 17O GLO. NA  54 BG05B
 210221901 2351082 17O REC. S   54 J51082
 210221901 2351089 17O GLO. B   54 BJ05
 210221901 2351090 17O GLO. MB  54 BJ05
 210221901 2351080 18I GLO. NA  54 BF05
 210221901 2351079 19P REC. NA  54 J51079
 210221901 2321088 19O REC. B   54 J21088
 210221901 2351078 19O REC. MB  54 J51078
 210221901 2312057 20I GLO. MB  54 BF51
 210221901 2312081 20I REC. S   54 J12081
 210221901 2342005 20I GLO. S   54 BH52
 210221901 2351096 20I GLO. B   54 BL05
 210221901 2352012 20I REC. MB  54 J52012
 210221901 2352015 20I REC. B   54 J52015
 210221901 2352020 20I GLO. MB  54 BL05
 210221901 2352033 20I GLO. B   54 BL05
 210221901 2255183 20P GLO. B   54 HA04
 210221901 2351080 20P GLO. MB  54 BF05
 210221901 2000001 20P GLO. MB  54 MDEX103
 210221901 2000005 20P GLO. B   54 MDEX101
 210221901 2351088 20P GLO. B   54 BI05
 210221901 2352021 20P GLO. MB  54 BK55
 210221901 2351081 20O GLO. MB  54 BG05
 210221901 2351083 20O GLO. B   54 BH05
 210221901 2352024 20O GLO. MB  54 BL05
 210221901 2352027 20O GLO. MB  54 BL55
 210221901 2255064 20O REC. MB  54 J55064
 210353928 2300033 10O GLO. EQ  54
 210353928 2300034 10O GLO. EQ  54
 210353928 2300035 10O GLO. EQ  54
 210353928 2341086 11I GLO. EQ  54
 210353928 2255065 11P GLO. EQ  54
 210353928 2255066 11P GLO. EQ  54
 210353928 2341089 11P GLO. EQ  54
 210353928 2352034 11P GLO. EQ  54
 210353928 2255064 11O GLO. EQ  54
 210353928 2351075 11O REC. EQ  54
 210353928 2351078 11O GLO. EQ  54
 210353928 2351082 12I GLO. EQ  54
 210353928 2900056 12I GLO. EQ  54
 210353928 2351077 12P GLO. EQ  54
 210353928 2351080 12P GLO. EQ  54
 210353928 2351084 12P GLO. EQ  54
 210353928 2351079 12O GLO. EQ  54
 210353928 2351081 12O REC. EQ  54
 210353928 2351087 12O GLO. EQ  54
 210353928 2351074 13I GLO. MB  54 BD05
 210353928 2351076 13I GLO. MB  54 BE55
 210353928 2351083 13P GLO. MB  54 BH05
 210353928 2351089 13P GLO. NA  54 BJ05
 210353928 2351090 13P GLO. B   54 BJ55
 210353928 2312058 13O GLO. NA  54 BG01
 210353928 2312061 13O GLO. NA  54 BH51
 210353928 2341093 13O GLO. NA  54 BD51
 210353928 2255143 14I GLO. NA  54 HJ01
 210353928 2255143 14I REC. B   54 J55143
 210353928 2293034 14I GLO. NA  54 HE01
 210353928 2351086 14I GLO. S   54 BI05
 210353928 2341093 14P GLO. NA  54 BD05
 210353928 2352035 14P GLO. S   54 BE51
 210353928 2352038 14P GLO. S   54 BD05
 210353928 2281081 14O GLO. NA  54 HH53
 210353928 2312060 14O GLO. NA  54 BG51A
 210353928 2352036 14O GLO. NA  54 BF01
 210353928 2255317 15I GLO. B   54 BA02
 210353928 2312060 15I GLO. NA  54 BF55
 210353928 2312062 15I GLO. NA  54 BH01
 210353928 2351089 15I REC. NA  54 J51089
 210353928 2352036 15I GLO. B   54 BC55
 210353928 2351089 15P GLO. S   54 BJ05
 210353928 2352014 15P GLO. MB  54 BL05
 210353928 2312052 15O GLO. B   54 BB01A
 210353928 2352024 15O GLO. MB  54 BL05
 210353928 2352015 16I GLO. MB  54 BL55
 210353928 2352023 16I REC. MB  54 J52023
 210353928 2351096 16P GLO. MB  54 BK05
 210353928 2293036 16P GLO. B   54 HF01
 210353928 2352010 16P GLO. B   54 BK05
 210353928 2312060 16P REC. MB  54 J12060
 210353928 2341093 16P REC. NA  54 J41093
 210353928 2312048 16O GLO. NA  54 BB51
 210353928 2312063 16O GLO. B   54 BH01A
 210353928 2312082 16O REC. B   54 J12082
 210353928 2312048 16O REC. S   54 J12048
 210353928 2351085 17I GLO. NA  54 BH05
 210353928 2351091 17I GLO. MB  54 BJ05B
 210353928 2352020 17I GLO. B   54 BL05
 210353928 2352025 17P GLO. NA  54 BK05
 210353928 2351092 17P GLO. NA  54 BK05B
 210353928 2341093 17P REC. NA  54 J41093
 210353928 2351092 17O GLO. B   54 BK05I
 210353928 2312066 18I GLO. NA  54 BI51
 210353928 2312057 18O GLO. B   54 BF51
 210353928 2351085 18O GLO. NA  54 BH55
 210353928 2341090 19I GLO. S   54 BC52
 210353928 2341093 19I REC. S   54 J41093
 210353928 2351085 19I REC. NA  54 J51085
 210353928 2351093 19P GLO. MB  54 BL05W
 210353928 2342000 19P GLO. NA  54 BD01
 210353928 2342000 20P GLO. B   54 BD01
2112020445 2300033 11P GLO. EQ  54
2112020445 2300034 11P GLO. EQ  54
2112020445 2300035 11P GLO. EQ  54
2112020445 2255066 11O GLO. EQ  54
2112020445 2255065 12I GLO. EQ  54
2112020445 2341086 12I GLO. EQ  54
2112020445 2900056 12I GLO. EQ  54
2112020445 2341093 12P GLO. EQ  54
2112020445 2900078 12P GLO. EQ  54
2112020445 2342000 12O GLO. EQ  54
2112020445 2352034 12O GLO. EQ  54
2112020445 2900053 12O GLO. EQ  54
2112020445 2341089 13I GLO. B   54 BC05
2112020445 2352035 13I GLO. B   54 BA03
2112020445 2312060 13P GLO. NA  54 BF05
2112020445 2352036 13P GLO. NA  54 BF01
2112020445 2351077 13O GLO. S   54 BC55
2112020445 2351082 13O GLO. NA  54 BG05
2112020445 2351084 13O GLO. NA  54 BH05
2112020445 2351074 14I GLO. NA  54 BD05A
2112020445 2341096 14O GLO. NA  54 BD52A
2112020445 2351074 14O GLO. S   54 BD05
2112020445 2351076 14O GLO. MB  54 BE55
2112020445 2352036 14O GLO. B   54 BC05
2112020445 2351075 15I GLO. B   54 BB05
2112020445 2351078 15I GLO. MB  54 BE55
2112020445 2351081 15P GLO. MB  54 BG05
2112020445 2351079 15P GLO. B   54 BF55
2112020445 2351082 15P GLO. S   54 BG05
2112020445 2312060 15O GLO. B   54 BG01B
2112020445 2351083 15O GLO. NA  54 BH55
2112020445 2351084 15O GLO. B   54 BH55
2112020445 2351087 15O GLO. MB  54 BI05
2112020445 2312082 16I GLO. S   54 BG05
2112020445 2352038 16I GLO. NA  54 BC51
2112020445 2351080 16I GLO. MB  54 BF05
2112020445 2351090 16P GLO. MB  54 BJ05
2112020445 2342005 16P GLO. B   54 BH52
2112020445 2352038 16P GLO. B   54 BC51
2112020445 2351085 17I GLO. NA  54 BH05
2112020445 2351096 17I GLO. B   54 BL05
2112020445 2352018 17I GLO. S   54 BJ55
2112020445 2351099 17O GLO. B   54 BJ55
2112020445 2351085 17O GLO. S   54 BH05
2112020445 2352004 17O GLO. NA  54 BJ05
2112020445 2351083 18I GLO. B   54 BH05A
2112020445 2352009 18I GLO. B   54 BL55
2112020445 2351088 18I GLO. S   54 BI05
2112020445 2312057 18P GLO. B   54 BF51
2112020445 2351086 18P GLO. B   54 BI05
2112020445 2351089 18P GLO. S   54 BJ05
2112020445 2352017 18P GLO. S   54 BK55
2112020445 2352032 18O GLO. S   54 BL55
2112020445 2351097 18O GLO. B   54 BL05
2112020445 2351091 18O GLO. MB  54 BJ05F
2112020445 2352026 18O GLO. S   54 BJ05
2112020445 2255317 19I GLO. S   54 BA51
2112020445 2312066 19I GLO. S   54 BI51
2112020445 2321082 19I GLO. MB  54 BI06A
2112020445 2351092 19I GLO. MB  54 BK05F
2112020445 2000001 19P GLO. NA  54 MDEX102
2112020445 2351093 19P GLO. NA  54 BL05F
2112020445 2241089 19P GLO. NA  54 HB51
2112020445 2241089 19O GLO. NA  54 HB01
2112020445 2351093 19O GLO. B   54 BL05C
2112020445 2224041 19O GLO. NA  54 HA02
2112020712 2255066 11P GLO. EQ  52
2112020712 2300033 11P GLO. EQ  52
2112020712 2300034 11P GLO. EQ  52
