matricula  U.E.A. Trim Ev. Cal Plan
 208352437 2300033 08O GLO. EQ  57
 208352437 2300035 08O GLO. EQ  57
 208352437 2300034 08O REC. EQ  57
 208352437 2331062 09I GLO. EQ  57
 208352437 2331064 09I GLO. EQ  57
 208352437 2130034 09P GLO. EQ  57
 208352437 2255065 09P GLO. EQ  57
 208352437 2331065 09P REC. EQ  57
 208352437 2331066 09O REC. EQ  57
 208352437 2255066 10I GLO. EQ  57
 208352437 2331067 10P GLO. EQ  57
 208352437 2331080 10O GLO. EQ  57
 208352437 2331063 11I GLO. EQ  57
 208352437 2112013 11P GLO. EQ  57
 208352437 2132075 12I GLO. EQ  57
 208352437 2332000 12I GLO. EQ  57
 208352437 2331079 12P GLO. EQ  57
 208352437 2331098 12P GLO. EQ  57
 208352437 2132060 12O GLO. EQ  57
 208352437 2132064 13I GLO. B   57 BG01
 208352437 2122081 13P GLO. NA  57 BC01
 208352437 2132061 13P GLO. S   57 BD03
 208352437 2132062 13O GLO. NA  57 BE03
 208352437 2331061 13O GLO. NA  57 BB08C
 208352437 2132065 14I GLO. B   57 BH02
 208352437 2331061 14O GLO. S   57 BB58
 208352437 2122081 15P GLO. S   57 BC01
 208352437 2132062 15P GLO. NA  57 BE01
 208352437 2141025 15O GLO. NA  57 BD02
 208352437 2141025 16I GLO. NA  57 BD02
 208352437 2255064 16O REC. B   57 J55064
 208352437 2211078 17I GLO. S   57 HB06
 208352437 2212013 17I GLO. B   57 HH02
 208352437 2293089 17I GLO. B   57 HH03
 208352437 2331097 17I GLO. S   57 BL07
 208352437 2332003 17I GLO. MB  57 BH07
 208352437 2255133 17P GLO. B   57 HJ51
 208352437 2331078 17P GLO. NA  57 BK07
 208352437 2331096 17P GLO. B   57 BI07
 208352437 2332001 17P GLO. B   57 BG07
 208352437 2332054 17P GLO. MB  57 BJ07
 208352437 2141025 17P REC. S   57 J41025
 208352437 2141026 17O GLO. S   57 BE01
 208352437 2332086 17O GLO. B   57 BK07
 208352437 2331094 18I GLO. S   57 BJ07
 208352437 2332053 18I GLO. B   57 BH07
 208352437 2132062 18I REC. NA  57 J32062
 208352437 2331088 18P GLO. B   57 BI07
 208352437 2332091 18P GLO. MB  57 BI07
 208352437 2132062 18O REC. S   57 J32062
 208352437 2122082 19I GLO. S   57 BF01
 208352437 2132063 19I GLO. S   57 BF02
 208352437 2122083 19P GLO. NA  57 BG51
 208352437 2122083 19P REC. NA  57 J22083
 208352437 2122083 19O GLO. B   57 BG01
 208352437 2122084 20I GLO. B   57 BH51
 208352437 2331082 20I GLO. S   57 BI07
 208352437 2331099 20I GLO. B   57 BI07
 208352437 2332087 20I GLO. B   57 BK07
 208352437 2331083 20P GLO. B   57 BJ57
 208352437 2331086 20P GLO. B   57 BJ07
 208352437 2331068 20O GLO. B   57 BK57
 208352437 2331084 20O GLO. S   57 BK57
 208352974 2300033 08O GLO. EQ  57
 208352974 2300034 08O GLO. EQ  57
 208352974 2300035 08O GLO. EQ  57
 208352974 2331062 09I GLO. EQ  57
 208352974 2331064 09I GLO. EQ  57
