matricula  U.E.A. Trim Ev. Cal Plan
 208352974 2255065 09P GLO. EQ  57
 208352974 2331065 09O GLO. EQ  57
 208352974 2130034 10O GLO. EQ  57
 208352974 2331063 11I GLO. EQ  57
 208352974 2255066 12I GLO. EQ  57
 208352974 2331066 12P GLO. EQ  57
 208352974 2112013 12O GLO. EQ  57
 208352974 2132075 13I GLO. NA  57 BB04
 208352974 2331061 13I GLO. S   57 BB08C
 208352974 2331067 13I GLO. NA  57 BF08
 208352974 2132075 13P GLO. S   57 BB52
 208352974 2331067 13P GLO. S   57 BF08
 208352974 2132060 13O GLO. B   57 BC51
 208352974 2132061 13O GLO. NA  57 BD01
 208352974 2331079 14I GLO. NA  57 BH07
 208352974 2331080 14I GLO. S   57 BG07
 208352974 2331079 14P GLO. S   57 BH07
 208352974 2122081 14O GLO. S   57 BC51
 208352974 2132064 14O GLO. S   57 BG02
 208352974 2132061 15I GLO. MB  57 BD51
 208352974 2132062 15I GLO. NA  57 BE01
 208352974 2132065 15I GLO. NA  57 BH02
 208352974 2141025 15I GLO. NA  57 BD01
 208352974 2141025 15I REC. NA  57 J41025
 208352974 2132062 15P GLO. S   57 BE01
 208352974 2141025 15P GLO. B   57 BD51
 208352974 2141026 15P REC. S   57 J41026
 208352974 2122082 15O GLO. S   57 BF02
 208352974 2132063 15O GLO. B   57 BF51
 208352974 2122083 16I GLO. B   57 BG52
 208352974 2255317 16I REC. MB  57 J55317
 208352974 2331082 16I REC. NA  57 J31082
 208352974 2331098 16I GLO. B   57 BH07
 208352974 2332003 16I GLO. B   57 BH07
 208352974 2332053 16I GLO. B   57 BH07
 208352974 2122084 16P GLO. B   57 BH51
 208352974 2132065 16P GLO. NA  57 BH03
 208352974 2132065 16P REC. NA  57 J32065
 208352974 2331082 16P GLO. NA  57 BI07
 208352974 2331083 16P REC. S   57 J31083
 208352974 2332001 16P GLO. B   57 BG07
 208352974 2332090 16P GLO. S   57 BJ07
 208352974 2211078 16O GLO. NA  57 HB02
 208352974 2331084 16O GLO. MB  57 BK07
 208352974 2331088 16O GLO. NA  57 BI07
 208352974 2331096 16O GLO. B   57 BI07
 208352974 2211089 17I GLO. B   57 HE04
 208352974 2211093 17I GLO. S   57 HF02
 208352974 2331099 17I GLO. NA  57 BI07
 208352974 2331099 17I REC. S   57 J31099
 208352974 2332073 17I GLO. S   57 BJ07
 208352974 2293089 17P REC. NA  57 J93089
 208352974 2331068 17P GLO. NA  57 BK58
 208352974 2331068 17P REC. B   57 J31068
 208352974 2331078 17P GLO. B   57 BK07
 208352974 2331094 17P GLO. NA  57 BK07
 208352974 2331097 17P GLO. MB  57 BL07
 208352974 2332054 17P GLO. B   57 BJ07
 208352974 2211078 17O GLO. NA  57 HB15
 208352974 2331069 17O GLO. NA  57 BL08
 208352974 2331082 17O GLO. NA  57 BI07
 208352974 2331069 17O REC. NA  57 J31069B
 208352974 2331082 17O REC. S   57 J31082
 208352974 2331093 17O GLO. S   57 BI07
 208352974 2211082 18I REC. S   57 J11082
 208352974 2331069 18I GLO. NA  57 BL08
 208352974 2332086 18I GLO. MB  57 BK58
 208352974 2331069 18P REC. B   57 J31069A
 208352974 2331086 18P GLO. S   57 BJ07
 208370061 2300034 08O GLO. EQ  57
 208370061 2300035 08O GLO. EQ  57
 208370061 2331064 09I GLO. EQ  57
 208370061 2300033 09P GLO. EQ  57
 208370061 2331062 09P GLO. EQ  57
 208370061 2130034 09P REC. EQ  57
 208370061 2255066 09O GLO. EQ  57
 208370061 2331063 09O GLO. EQ  57
 208370061 2112013 10I GLO. EQ  57
 208370061 2132075 10P GLO. EQ  57
 208370061 2255065 10P GLO. EQ  57
 208370061 2331065 10O GLO. EQ  57
 208370061 2332000 11I GLO. EQ  57
 208370061 2141025 11P GLO. EQ  57
 208370061 2331061 11O GLO. EQ  57
 208370061 2331079 11O GLO. EQ  57
 208370061 2331066 12O GLO. EQ  57
 208370061 2132060 13I GLO. NA  57 BC03
 208370061 2141026 13I GLO. S   57 BD01
 208370061 2132064 13I GLO. B   57 BG01
 208370061 2132060 13P REC. NA  57 J32060
 208370061 2331067 13P GLO. S   57 BF57
 208370061 2122081 13P GLO. B   57 BC52
 208370061 2132060 13P GLO. NA  57 BC01
 208370061 2132061 13P GLO. S   57 BD03
 208370061 2132060 13O REC. S   57 J32060
 208370061 2331080 13O GLO. NA  57 BG07
 208370061 2331080 14I REC. NA  57 J31080
 208370061 2132065 14I GLO. B   57 BH02
 208370061 2331080 14I GLO. NA  57 BG57
 208370061 2132062 14I REC. S   57 J32062
 208370061 2132062 14I GLO. NA  57 BE03
 208370061 2331097 14P GLO. NA  57 BL57
 208370061 2331093 14P GLO. NA  57 BJ07
 208370061 2122082 14P GLO. NA  57 BF03
 208370061 2331088 14O GLO. S   57 BI07
 208370061 2331098 14O GLO. B   57 BH07
 208370061 2331087 14O GLO. NA  57 BI07
 208370061 2122082 15I GLO. S   57 BF01
 208370061 2332053 15I GLO. NA  57 BH07
 208370061 2331078 15I GLO. NA  57 BK07
 208370061 2332054 15I GLO. NA  57 BJ07
 208370061 2332054 15P GLO. NA  57 BJ07
 208370061 2122083 15P GLO. NA  57 BG52
 208370061 2132063 15P GLO. S   57 BF51
 208370061 2332086 15P GLO. B   57 BK07
 208370061 2331087 15O GLO. NA  57 BI07
 208370061 2122083 15O GLO. S   57 BG52
 208370061 2331096 15O GLO. NA  57 BI07
 208370061 2331082 16I REC. NA  57 J31082
 208370061 2122084 16I GLO. S   57 BH51
 208370061 2331082 16I GLO. NA  57 BI07
 208370061 2331096 16I GLO. NA  57 BI07
 208370061 2332001 16I GLO. NA  57 BG07
 208370061 2332053 16P REC. NA  57 J32053
 208370061 2255317 16P GLO. B   57 BA02
 208370061 2332053 16P GLO. NA  57 BH07
 208370061 2332001 16P GLO. NA  57 BG07
 208370061 2332090 16P GLO. S   57 BJ07
 208370061 2332087 16O REC. MB  57 J32087
 208370061 2331083 16O GLO. NA  57 BJ07
 208370061 2211086 16O GLO. NA  57 HD52
 208370061 2331082 16O GLO. NA  57 BI07
 208370061 2332089 16O REC. MB  57 J32089
 208370061 2332003 16O GLO. NA  57 BH07
 208370061 2332089 16O GLO. NA  57 BK07
 208370061 2292077 17I GLO. B   57 HA51
 208370061 2331083 17I GLO. NA  57 BJ07
 208370061 2242036 17I GLO. B   57 HA51
 208370061 2332091 17I GLO. NA  57 BJ07
 208370061 2332003 17I GLO. NA  57 BH07
 208370061 2211086 17P GLO. NA  57 HD53
 208370061 2332055 17O GLO. NA  57 BJ07
 208370061 2293089 17O GLO. NA  57 HB02
 208370061 2332054 17O REC. MB  57 J32054
 208370061 2331094 18I GLO. S   57 BJ07
 208370061 2331078 18P GLO. NA  57 BK07
 208370061 2293089 18P GLO. NA  57 HH01ED
 208370061 2331099 18P GLO. MB  57 BI07
 208370061 2331078 18P REC. NA  57 J31078
 208370061 2331086 19I GLO. NA  57 BJ07A
 208370061 2332073 19I GLO. NA  57 BJ07
 208370061 2331086 19P GLO. S   57 BJ07A
 208370061 2332073 19P GLO. B   57 BJ07
 208370061 2241094 19O GLO. NA  57 HD01
 208370061 2211079 19O GLO. NA  57 HB51
 208370061 2332088 19O GLO. NA  57 BK08
 208370061 2332055 19O REC. S   57 J32055
 208370061 2331080 20I REC. S   57 J31080
 208370061 2211077 20P GLO. MB  57 HB01
 208370061 2331082 20O REC. B   57 J31082
 209222033 2130034 09P GLO. EQ  57
 209222033 2300033 09P GLO. EQ  57
 209222033 2300035 09P GLO. EQ  57
 209222033 2300034 09P REC. EQ  57
 209222033 2255065 09O GLO. EQ  57
 209222033 2331064 10I GLO. EQ  57
 209222033 2331062 10I REC. EQ  57
 209222033 2331065 10P GLO. EQ  57
 209222033 2255066 10P REC. EQ  57
 209222033 2331066 10O REC. EQ  57
 209222033 2112013 11P GLO. EQ  57
 209222033 2331067 11P GLO. EQ  57
 209222033 2331080 11O GLO. EQ  57
 209222033 2331063 11O REC. EQ  57
 209222033 2332000 12I REC. EQ  57
 209222033 2331079 12P GLO. EQ  57
 209222033 2331098 12O GLO. EQ  57
 209222033 2331093 12O REC. EQ  57
 209222033 2132075 13I GLO. NA  57 BB01
 209222033 2132064 13I GLO. B   57 BG51
 209222033 2132060 13P REC. NA  57 J32060
 209222033 2132065 13P GLO. B   57 BH01
 209222033 2132075 13P GLO. S   57 BB01
 209222033 2255064 13P REC. B   57 J55064
 209222033 2122081 13O REC. NA  57 J22081
 209222033 2132060 13O REC. S   57 J32060
 209222033 2132060 13O GLO. NA  57 BC03
 209222033 2122081 13O GLO. NA  57 BC51
 209222033 2132061 14I GLO. B   57 BD01
 209222033 2331061 14P GLO. NA  57 BB57
 209222033 2122081 14P GLO. NA  57 BC02
 209222033 2132062 14P GLO. B   57 BE02
 209222033 2331061 14P REC. MB  57 J31061
 209222033 2122081 14O REC. NA  57 J22081
 209222033 2132063 14O GLO. S   57 BF51
 209222033 2331097 14O GLO. B   57 BL07A
 209222033 2332003 14O GLO. B   57 BI07
 209222033 2122081 15I REC. B   57 J22033
 209222033 2211078 15I REC. S   57 J11078
 209222033 2242036 15I GLO. NA  57 HD02
 209222033 2211078 15I GLO. NA  57 HB01
 209222033 2332054 15P GLO. B   57 BJ07
 209222033 2141025 15P GLO. S   57 BD51
 209222033 2331096 15P GLO. S   57 BI07
 209222033 2331078 15O REC. NA  57 J31078
 209222033 2281052 15O GLO. B   57 HE01
 209222033 2331078 15O GLO. NA  57 BK07
 209222033 2211081 16I GLO. MB  57 HC52
 209222033 2141026 16I GLO. S   57 BE02
 209222033 2211087 16P GLO. S   57 HD03
 209222033 2122082 16P GLO. NA  57 BF03
 209222033 2332086 16P GLO. S   57 BK07
 209222033 2122082 16O GLO. NA  57 BF01
 209222033 2122082 17I REC. NA  57 J22082
 209222033 2332091 17I GLO. S   57 BJ07
 209222033 2332001 17P GLO. B   57 BG07
 209222033 2331078 17P REC. B   57 J31078
 209222033 2122082 17P REC. NA  57 J22082
 209222033 2332090 18I GLO. S   57 BI07
 209222033 2122082 18I REC. S   57 J22082
 209222033 2122083 18P GLO. S   57 BG01
 209222033 2331099 18O GLO. B   57 BI07A
 209222033 2122084 18O GLO. NA  57 BG52
 209222033 2331082 19I GLO. S   57 BI07A
 209222033 2122084 19I GLO. S   57 BH51
 209222033 2331083 19P REC. S   57 J31083
 209222033 2331086 19O GLO. S   57 BJ07A
 209222033 2331068 20O GLO. B   57 BK57
 209222033 2331084 20O REC. S   57 J31084
 209222431 2130034 09P GLO. EQ  57
 209222431 2300033 09P GLO. EQ  57
 209222431 2300035 09P GLO. EQ  57
 209222431 2255065 09O GLO. EQ  57
 209222431 2255066 09O GLO. EQ  57
 209222431 2300034 09O REC. EQ  57
 209222431 2331062 10O GLO. EQ  57
 209222431 2331064 10O GLO. EQ  57
 209222431 2331063 11I GLO. EQ  57
 209222431 2331065 11I GLO. EQ  57
 209222431 2331066 11P GLO. EQ  57
 209222431 2132075 13I GLO. NA  57 BB01
 209222431 2112013 13P GLO. S   57 BB02
 209222431 2331067 13P GLO. NA  57 BF08
 209222431 2331061 13O GLO. NA  57 BB57A
 209222431 2132075 13O GLO. NA  57 BB03
 209222431 2331067 14I GLO. S   57 BF07
 209222431 2331061 14P GLO. NA  57 BB57
 209222431 2331061 14P REC. S   57 J31061
 209222431 2132075 15I REC. NA  57 J32075
 209222431 2132075 15P REC. NA  57 J32075
 209222431 2132075 15O REC. S   57 J54361
 209222431 2132060 16I GLO. NA  57 BC51
 209222431 2132061 16P GLO. NA  57 BD02
 209222431 2132060 16P GLO. S   57 BC01
 209222431 2122081 16P GLO. S   57 BC01
 209222431 2331080 16O GLO. NA  57 BG07A
 209222431 2331079 16O GLO. S   57 BH07
 209222431 2132061 17I GLO. NA  57 BD01
 209222431 2141025 17I GLO. S   57 BD51
 209222431 2132062 17P GLO. S   57 BE01
 209222431 2331080 17P GLO. B   57 BG07
 209222431 2141026 17P GLO. B   57 BE51
 209222431 2122082 17O GLO. S   57 BF02
 209222431 2211079 17O GLO. B   57 HB14
 209222431 2211087 17O GLO. S   57 HD19
 209222431 2132063 17O GLO. S   57 BF01
 209222431 2255317 18I GLO. MB  57 BA02
 209222431 2211081 18I GLO. S   57 HC01
 209222431 2122083 18I GLO. S   57 BG51
 209222431 2132064 18I GLO. S   57 BG02
 209222431 2132061 18I REC. NA  57 J32061
 209222431 2331082 18P GLO. S   57 BI07
 209222431 2132065 18P GLO. NA  57 BH02
 209222431 2331096 18P GLO. B   57 BH07
 209222431 2122084 18P GLO. B   57 BH51
 209222431 2332053 18P GLO. B   57 BH07
 209222431 2331083 18O GLO. NA  57 BJ07A
 209222431 2331086 18O GLO. S   57 BJ07
 209222431 2132065 18O GLO. S   57 BH02
 209222431 2331087 18O GLO. NA  57 BG07
 209222431 2332003 18O GLO. B   57 BG07
 209222431 2132061 18O REC. S   57 J32061
 209222431 2332086 18O REC. B   57 J32086
 209222431 2331099 19I GLO. S   57 BI07A
 209222431 2331083 19I GLO. S   57 BJ07A
 209222431 2331097 19I GLO. MB  57 BI07
 209222431 2332054 19I GLO. MB  57 BJ57
 209222431 2332089 19O GLO. NA  57 BK58
 209222431 2331084 19O GLO. S   57 BK07
 209222431 2331068 19O GLO. NA  57 BK57
 209222431 2332055 19O GLO. B   57 BJ07
 209222431 2331068 19O REC. S   57 J31068
 209222431 2332087 20P GLO. B   57 BK07
 209222431 2332073 20P GLO. S   57 BJ57
 209222431 2331069 20P REC. S   57 J31069B
 209222431 2332001 20O GLO. B   57 BI57
 209222431 2331078 20O GLO. B   57 BK07
 209350365 2300033 09O GLO. EQ  57
 209350365 2300034 09O GLO. EQ  57
 209350365 2300035 09O GLO. EQ  57
 209350365 2130034 10I GLO. EQ  57
 209350365 2255065 10I GLO. EQ  57
 209350365 2132075 10P GLO. EQ  57
 209350365 2331064 10P GLO. EQ  57
 209350365 2255066 10O GLO. EQ  57
 209350365 2331062 10O GLO. EQ  57
 209350365 2141025 11I GLO. EQ  57
 209350365 2331065 11I GLO. EQ  57
 209350365 2112013 11P GLO. EQ  57
 209350365 2132060 11P GLO. EQ  57
 209350365 2331066 11O GLO. EQ  57
 209350365 2132064 12P GLO. EQ  57
 209350365 2331067 12P GLO. EQ  57
 209350365 2132061 12O GLO. EQ  57
 209350365 2141026 12O GLO. EQ  57
 209350365 2331080 12O GLO. EQ  57
 209350365 2122081 13I REC. NA  57 J2281
 209350365 2122081 13I GLO. NA  57 BC01B
 209350365 2132065 13I GLO. MB  57 BH51
 209350365 2132062 13I GLO. B   57 BE01A
 209350365 2331079 13I GLO. NA  57 BH07
 209350365 2331079 13P GLO. S   57 BH07A
 209350365 2331063 13P GLO. B   57 BC07
 209350365 2122081 13O GLO. NA  57 BC03
 209350365 2331061 13O GLO. B   57 BB58
 209350365 2122082 13O GLO. S   57 BF01
 209350365 2122083 14I GLO. NA  57 BG51
 209350365 2211083 14I GLO. S   57 HC51
 209350365 2211089 14I GLO. MB  57 HE03
 209350365 2132063 14I GLO. MB  57 BF01
 209350365 2331078 14I GLO. S   57 BK07
 209350365 2242036 14P GLO. NA  57 HA02
 209350365 2122083 14P GLO. NA  57 BG51
 209350365 2241091 14P GLO. B   57 HC51
 209350365 2331098 14P GLO. NA  57 BH07
 209350365 2332053 14P GLO. MB  57 BH07
 209350365 2331096 14O REC. NA  57 J31096
 209350365 2331096 14O GLO. NA  57 BI07
 209350365 2331087 14O GLO. S   57 BI07
 209350365 2332090 14O GLO. S   57 BJ07
 209350365 2332054 14O GLO. MB  57 BJ07
 209350365 2331088 15I REC. NA  57 J31088
 209350365 2122083 15I REC. S   57 J22083
 209350365 2211090 15I GLO. NA  57 HE52
 209350365 2331096 15I GLO. B   57 BI07
 209350365 2331088 15I GLO. NA  57 BI07
 209350365 2332086 15I GLO. S   57 BK07
 209350365 2331082 15P GLO. S   57 BI57
 209350365 2122081 15P REC. S   57 J22081
 209350365 2331088 15P GLO. S   57 BI07
 209350365 2211082 15P GLO. B   57 HC52
 209350365 2122084 15P GLO. B   57 BH52
 209350365 2331086 15O REC. S   57 J31086
 209350365 2332089 15O GLO. MB  57 BK57
 209350365 2331083 15O REC. B   57 J31083
 209350365 2332073 15O GLO. S   57 BJ07
 209350365 2331086 15O GLO. NA  57 BJ07
 209350365 2331083 15O GLO. NA  57 BJ07
 209350365 2331068 16I REC. B   57 J31068
 209350365 2331084 16I GLO. B   57 BK07
 209350365 2331068 16I GLO. NA  57 BK08
 209350365 2332003 16P GLO. S   57 BH07
 209350365 2331069 16P GLO. NA  57 BL58
 209350365 2331069 16P REC. NA  57 J31069
 209350365 2331069 16O GLO. B   57 BL08
 209350365 2331099 18P GLO. NA  57 BI07A
 209350365 2331099 19I GLO. NA  57 BI07
 209350365 2332001 20O GLO. S   57 BI57
 209350894 2130034 09O GLO. EQ  57
 209350894 2300033 09O GLO. EQ  57
 209350894 2300034 09O GLO. EQ  57
 209350894 2300035 09O GLO. EQ  57
 209350894 2132075 10I GLO. EQ  57
 209350894 2255066 10I GLO. EQ  57
 209350894 2331062 10I GLO. EQ  57
 209350894 2331064 10I GLO. EQ  57
 209350894 2331065 10P GLO. EQ  57
 209350894 2141025 10P REC. EQ  57
 209350894 2132060 10O GLO. EQ  57
 209350894 2331063 10O GLO. EQ  57
 209350894 2331066 11P REC. EQ  57
 209350894 2132064 11O GLO. EQ  57
 209350894 2141026 11O GLO. EQ  57
 209350894 2331061 11O GLO. EQ  57
 209350894 2132065 12P GLO. EQ  57
 209350894 2255064 12P GLO. EQ  57
 209350894 2332000 12P GLO. EQ  57
 209350894 2331080 13I GLO. S   57 BG57
 209350894 2331067 13I REC. NA  57 J3167
 209350894 2112013 13I GLO. NA  57 BC01
 209350894 2331079 13P REC. NA  57 J31079
 209350894 2255065 13P GLO. NA  57 HE51
 209350894 2331079 13P GLO. NA  57 BH07
 209350894 2112013 13P GLO. S   57 BB51
 209350894 2331079 13O REC. NA  57 J31079
 209350894 2255065 13O GLO. NA  57 HE07
 209350894 2132061 13O REC. S   57 J32061
 209350894 2132061 13O GLO. NA  57 BD03
 209350894 2132062 13O GLO. NA  57 BE02
 209350894 2331067 14I REC. S   57 J31067
 209350894 2331067 14I GLO. NA  57 BF57
 209350894 2132062 14O REC. NA  57 J32062
 209350894 2122081 14O GLO. NA  57 BC04
 209350894 2132062 14O GLO. NA  57 BE02
 209350894 2122081 15P GLO. NA  57 BC52
 209350894 2331079 16O GLO. B   57 BH57
 209350894 2122081 17I REC. S   57 J22081
 209350894 2211085 17O GLO. B   57 HD54
 209350894 2211078 17O GLO. NA  57 HB05
 209350894 2211092 17O GLO. B   57 HE08
 209350894 2255133 17O GLO. B   57 HJ01
 209350894 2331087 18I GLO. NA  57 BG07
 209350894 2332053 18I GLO. B   57 BH07
 209350894 2332054 18I GLO. B   57 BJ07
 209350894 2332003 18P GLO. B   57 BG07
 209350894 2332086 18P GLO. B   57 BL07
 209350894 2132062 18P REC. NA  57 J32062
 209350894 2331098 18O GLO. B   57 BH07
 209350894 2331093 18O GLO. S   57 BI07
 209350894 2332089 18O GLO. NA  57 BL57
 209350894 2331096 18O GLO. S   57 BH07
 209350894 2132062 18O REC. B   57 J32062
 209350894 2122082 19I GLO. NA  57 BF03
 209350894 2122082 19I REC. S   57 J22082
 209350894 2242036 19P GLO. S   57 HA51
 209350894 2331078 19P GLO. S   57 BK07
 209350894 2332001 19P GLO. B   57 BI07
 209350894 2122083 19P GLO. B   57 BG01
 209350894 2132063 19P GLO. B   57 BF02
 209350894 2331082 19O REC. MB  57 J31082
 209350894 2122084 19O REC. S   57 J22084
 209350894 2331099 20I GLO. S   57 BI07
 209350894 2331086 20I GLO. S   57 BJ07A
 209350894 2255065 20I REC. MB  57 J55065
 209350894 2332087 20P GLO. B   57 BK07
 209350894 2331094 20P GLO. MB  57 BJ57
 209350894 2332073 20P GLO. B   57 BJ57
 209350894 2331083 20P GLO. S   57 BJ57
 209350894 2331084 20O GLO. B   57 BK57
 209350894 2331068 20O GLO. B   57 BK57
 209350894 2331097 20O GLO. S   57 BI07
 209369990 2300033 09O GLO. EQ  57
 209369990 2300035 09O GLO. EQ  57
 209369990 2300034 10I GLO. EQ  57
 209369990 2331064 10P GLO. EQ  57
 209369990 2331062 11I GLO. EQ  57
 209369990 2331065 11P GLO. EQ  57
 209369990 2130034 11O REC. EQ  57
 209369990 2331066 11O GLO. EQ  57
 209369990 2132075 12I GLO. EQ  57
 209369990 2331063 12I REC. EQ  57
 209369990 2331067 12P GLO. EQ  57
 209369990 2255066 12O GLO. EQ  57
 209369990 2331080 12O GLO. EQ  57
 209369990 2112013 13I GLO. NA  57 BC51
 209369990 2132060 13I GLO. NA  57 BC03
 209369990 2331061 13I GLO. S   57 BB08C
 209369990 2112013 13P GLO. S   57 BB52
 209369990 2132060 13P GLO. S   57 BC03
 209369990 2132061 13P GLO. S   57 BD03
 209369990 2122081 13O GLO. NA  57 BC03
 209369990 2331079 13O GLO. S   57 BH07
 209369990 2132064 14I GLO. NA  57 BG01
 209369990 2122081 14P GLO. NA  57 BC02
 209369990 2132062 14P GLO. S   57 BE01
 209369990 2132064 14P GLO. NA  57 BG01
 209369990 2122081 14O REC. NA  57 J22081
 209369990 2132063 14O GLO. NA  57 BF01
 209369990 2132064 14O REC. S   57 J32064
 209369990 2132065 15I GLO. NA  57 BH02
 209369990 2255064 15I REC. S   57 J55064
 209369990 2122081 15P REC. B   57 J22081
 209369990 2132063 15P GLO. S   57 BF51
 209369990 2255065 15P REC. S   57 J55065
 209369990 2141025 15O GLO. NA  57 BD02
 209369990 2331078 15O GLO. B   57 BK07
 209369990 2332086 15O GLO. S   57 BK07
 209369990 2141025 16I GLO. B   57 BD02
 209369990 2211089 16I GLO. NA  57 HE02
 209369990 2281052 16I GLO. B   57 HE01
 209369990 2331093 16I GLO. S   57 BJ07
 209369990 2141026 16P GLO. B   57 BE01
 209369990 2211081 16P GLO. MB  57 HC52
 209369990 2332003 16P GLO. NA  57 BH07
 209369990 2332054 16P GLO. B   57 BJ07
 209369990 2122082 16O GLO. NA  57 BF51
 209369990 2331088 16O GLO. NA  57 BI07
 209369990 2332003 16O GLO. S   57 BH07
 209369990 2122082 17I GLO. NA  57 BF01
 209369990 2332053 17I GLO. B   57 BH07
 209369990 2122082 17P REC. NA  57 J22082
 209369990 2211093 17P GLO. B   57 HF51
 209369990 2293089 17P GLO. NA  57 HH01ED
 209369990 2332001 17P GLO. B   57 BG07
 209369990 2132065 17O GLO. NA  57 BH01
 209369990 2255183 17O GLO. NA  57 HA11
 209369990 2211082 18I GLO. B   57 HC53
 209369990 2331096 18I GLO. S   57 BH07
 209369990 2331098 18I GLO. B   57 BH07
 209369990 2122082 18P REC. S   57 J22082
 209369990 2331097 18P GLO. NA  57 BI07
 209369990 2332000 18P GLO. NA  57 BL07
 209369990 2332090 18P GLO. B   57 BI07
 209369990 2122083 18O GLO. NA  57 BG01
 209369990 2122083 18O REC. NA  57 J22083
 209369990 2331087 18O GLO. S   57 BG07
 209369990 2122083 19I GLO. S   57 BG01
 209369990 2331082 19P GLO. NA  57 BI07
 209369990 2331082 19P REC. S   57 J31082
 209369990 2331097 19P GLO. MB  57 BI07
 209369990 2331099 19P GLO. S   57 BI07A
 209369990 2332055 19O REC. B   57 J32055
 209369990 2122084 19O REC. S   57 J22084
 209369990 2331086 20I GLO. S   57 BJ07A
 209369990 2331083 20P GLO. B   57 BJ57
 209369990 2331068 20O GLO. B   57 BK57
 210221846 2300033 10P GLO. EQ  57
 210221846 2300034 10P GLO. EQ  57
 210221846 2300035 10P GLO. EQ  57
 210221846 2130034 10O GLO. EQ  57
 210221846 2331062 10O GLO. EQ  57
 210221846 2132075 11I GLO. EQ  57
 210221846 2255066 11I GLO. EQ  57
 210221846 2331064 11I GLO. EQ  57
 210221846 2132060 11P GLO. EQ  57
 210221846 2331063 11P GLO. EQ  57
 210221846 2132064 11O GLO. EQ  57
 210221846 2331065 11O GLO. EQ  57
 210221846 2112013 12I GLO. EQ  57
 210221846 2255065 12P GLO. EQ  57
 210221846 2332000 12P GLO. EQ  57
 210221846 2141025 12O GLO. EQ  57
 210221846 2331061 13P GLO. NA  57 BB07A
 210221846 2132061 13O REC. B   57 J32061
 210221846 2141026 13O GLO. B   57 BD51
 210221846 2331066 13O GLO. B   57 BE08
 210221846 2331061 13O REC. MB  57 J31061
 210221846 2331067 13O GLO. S   57 BF07
 210221846 2132065 14I GLO. B   57 BH01
 210221846 2331080 14I GLO. B   57 BG07
 210221846 2132062 14I GLO. S   57 BE02
 210221846 2331079 14P GLO. B   57 BH07
 210221846 2122082 14P GLO. NA  57 BF01
