matricula  U.E.A. Trim Ev. Cal Plan
 210352778 2255183 18I GLO. NA  55 HA01
 210352778 2255317 18I GLO. NA  55 BA51
 210352778 2321099 18P GLO. B   55 BK06
 210352778 2321100 18P GLO. MB  55 BJ06
 210352778 2321097 18P REC. MB  55 J21097
 210352778 2255317 18O GLO. NA  55 BA51
 210352778 2321066 19I GLO. NA  55 BE06
 210352778 2293089 19P GLO. NA  55 HH03
 210352778 2321096 19P REC. S   55 J21096
 210352778 2321066 19O REC. S   55 J21066
 210352778 2352035 19O REC. S   55 J52035
 210352778 2255183 20P GLO. B   55 HA08
 210352778 2255064 20O REC. B   55 J55064
2112021602 2255066 11P GLO. EQ  55
2112021602 2300033 11P GLO. EQ  55
2112021602 2321054 11P GLO. EQ  55
2112021602 2300034 11O GLO. EQ  55
2112021602 2321055 11O GLO. EQ  55
2112021602 2300035 12I GLO. EQ  55
2112021602 2321056 12I GLO. EQ  55
2112021602 2321070 12I GLO. EQ  55
2112021602 2321053 12P GLO. EQ  55
2112021602 2321062 12P GLO. EQ  55
2112021602 2321065 12P GLO. EQ  55
2112021602 2321091 12P GLO. EQ  55
2112021602 2321052 13I GLO. NA  55 BD06B
2112021602 2321067 13I GLO. B   55 BB06C
2112021602 2321068 13I GLO. B   55 BF06
2112021602 2352035 13I GLO. S   55 BA51
2112021602 2321051 13P GLO. S   55 BB06A
2112021602 2321052 13P GLO. S   55 BD06B
2112021602 2321063 13P GLO. MB  55 BE06B
2112021602 2321072 13P GLO. S   55 BG06
2112021602 2321050 13O GLO. S   55 BA56
2112021602 2321057 13O GLO. B   55 BC06A
2112021602 2321059 13O GLO. MB  55 BF06
2112021602 2321064 13O GLO. S   55 BD06B
2112021602 2321076 13O GLO. MB  55 BH06
2112021602 2312052 14I GLO. NA  55 BB51
2112021602 2321060 14I GLO. B   55 BF06
2112021602 2321066 14I GLO. NA  55 BE06A
2112021602 2321069 14I GLO. B   55 BG06
2112021602 2321071 14I GLO. NA  55 BG06
2112021602 2321080 14I GLO. NA  55 BI06
2112021602 2321061 14P GLO. NA  55 BD06B
2112021602 2321073 14P GLO. NA  55 BH06
2112021602 2321080 14P GLO. S   55 BI06
2112021602 2321089 14P GLO. NA  55 BG06B
2112021602 2321081 15P GLO. NA  55 BJ06
2112021602 2321061 15P GLO. S   55 BD06B
2112021602 2321073 17I GLO. MB  55 BH06
2112021602 2321074 17I GLO. S   55 BH06B
2112021602 2321089 17P GLO. MB  55 BF06
2112021602 2321081 17P GLO. NA  55 BJ06A
2112021602 2321058 17O GLO. NA  55 BH06A
2112021602 2321071 17O GLO. NA  55 BG06A
2112021602 2341094 17O GLO. NA  55 BD52
2112021602 2321077 18I GLO. B   55 BI06B
2112021602 2321058 18I GLO. B   55 BH06
2112021602 2321079 18I GLO. MB  55 BI06A
2112021602 2321082 18P GLO. MB  55 BI06B
2112021602 2321097 18P GLO. B   55 BE06
2112021602 2321085 18P GLO. B   55 BI06B
2112021602 2321094 18O GLO. S   55 BH06
2112021602 2321083 18O GLO. B   55 BJ06B
2112021602 2321096 19I GLO. B   55 BI06
2112021602 2321095 19I GLO. MB  55 BI06
2112021602 2294003 19P GLO. B   55 HH52
2112021602 2321086 19P GLO. B   55 BK06F
2112021602 2321100 19P REC. MB  55 J21100
2112021602 2321087 19O GLO. MB  55 BL06B
2112021602 2321093 19O GLO. MB  55 BH06
2112021602 2321000 20I GLO. MB  55 BK06
2112021602 2321066 20I GLO. B   55 BE06A
2112021602 2321099 20P GLO. MB  55 BK06
2112021602 2321084 20P GLO. MB  55 BI06A
2112021602 2321081 20O REC. MB  55 J21081
2112023857 2255066 11P GLO. EQ  55
2112023857 2300033 11P GLO. EQ  55
2112023857 2300034 11P GLO. EQ  55
2112023857 2321054 11P GLO. EQ  55
2112023857 2321055 12I GLO. EQ  55
2112023857 2321070 12I GLO. EQ  55
2112023857 2300035 12P GLO. EQ  55
2112023857 2321065 12P GLO. EQ  55
2112023857 2321053 12O GLO. EQ  55
2112023857 2321062 12O GLO. EQ  55
2112023857 2321068 12O GLO. EQ  55
2112023857 2321072 12O GLO. EQ  55
2112023857 2321050 13I GLO. B   55 BA06B
2112023857 2321052 13I GLO. MB  55 BD06A
2112023857 2321056 13I GLO. B   55 BB06B
2112023857 2321067 13I GLO. B   55 BB06A
2112023857 2321076 13I GLO. MB  55 BH06
2112023857 2321051 13P GLO. B   55 BB06B
2112023857 2321063 13P GLO. MB  55 BE06B
2112023857 2321064 13P GLO. NA  55 BD06B
