matricula  U.E.A. Trim Ev. Cal Plan
 209221087 2255066 09P GLO. EQ  52
 209221087 2300033 09P GLO. EQ  52
 209221087 2300034 09P GLO. EQ  52
 209221087 2341089 09O GLO. EQ  52
 209221087 2352035 09O GLO. EQ  52
 209221087 2900056 09O GLO. EQ  52
 209221087 2341086 09O REC. EQ  52
 209221087 2900060 09O REC. EQ  52
 209221087 2352034 10I GLO. EQ  52
 209221087 2900061 10I GLO. EQ  52
 209221087 2312047 10P GLO. EQ  52
 209221087 2312052 10P GLO. EQ  52
 209221087 2312057 10P GLO. EQ  52
 209221087 2312058 10P GLO. EQ  52
 209221087 2312048 10O GLO. EQ  52
 209221087 2312079 10O GLO. EQ  52
 209221087 2341093 10O GLO. EQ  52
 209221087 2312056 11I GLO. EQ  52
 209221087 2312063 11I GLO. EQ  52
 209221087 2312049 11P GLO. EQ  52
 209221087 2312059 11O GLO. EQ  52
 209221087 2312064 11O GLO. EQ  52
 209221087 2312053 12I GLO. EQ  52
 209221087 2312088 12I GLO. EQ  52
 209221087 2312050 12P GLO. EQ  52
 209221087 2312054 12P GLO. EQ  52
 209221087 2312051 12O GLO. EQ  52
 209221087 2312081 12O GLO. EQ  52
 209221087 2300035 13I GLO. MB  52 BA54
 209221087 2312055 13I GLO. B   52 BE01
 209221087 2342000 13I GLO. B   52 BF02
 209221087 2352036 13I GLO. NA  52 BC02
 209221087 2312077 13P GLO. MB  52 BE01
 209221087 2341094 13P GLO. NA  52 BD52
 209221087 2312061 13P REC. MB  52 J12061
 209221087 2352038 13P REC. NA  52 J52038
 209221087 2312066 13O GLO. NA  52 BI01
 209221087 2312094 13O GLO. MB  52 BE01
 209221087 2331087 13O GLO. S   52 BI07
 209221087 2321062 14I GLO. MB  52 BC06B
 209221087 2352006 14I GLO. S   52 BL05
 209221087 2352025 14I GLO. S   52 BL05
 209221087 2352029 14I GLO. B   52 BK05
 209221087 2312060 14P GLO. MB  52 BG01
 209221087 2331097 14P GLO. B   52 BL57
 209221087 2352038 14P GLO. NA  52 BC01
 209221087 2321070 14O GLO. S   52 BG06A
 209221087 2312066 15I GLO. S   52 BI01
 209221087 2211076 15P GLO. B   52 HA02
 209221087 2293055 15P GLO. NA  52 HI01
 209221087 2211075 15O GLO. NA  52 HA51
 209221087 2212000 15O GLO. NA  52 HG08
 209221087 2212001 15O GLO. NA  52 HA55
 209221087 2211082 16I GLO. MB  52 HC54
 209221087 2352038 16I GLO. S   52 BC51
 209221087 2255414 16P GLO. NA  52 HA02
 209221087 2312067 16P GLO. MB  52 BJ28
 209221087 2352036 16P GLO. NA  52 BF03
 209221087 2255147 16O GLO. B   52 HJ01
 209221087 2255317 16O GLO. S   52 BA51
 209221087 2312068 16O GLO. MB  52 BK28
 209221087 2312062 17I GLO. NA  52 BH01A
 209221087 2312069 17I GLO. MB  52 BL28
 209221087 2255101 17P GLO. NA  52 HA51
 209221087 2312062 17P REC. NA  52 J12062
 209221087 2352036 17P REC. MB  52 J52036
 209221087 2312062 18I GLO. B   52 BH51
 209221087 2312065 18P GLO. NA  52 BI51
 209221087 2255064 20O GLO. B   52 HD11
 209221558 2255066 09P GLO. EQ  52
 209221558 2300033 09P GLO. EQ  52
 209221558 2300034 09P REC. EQ  52
 209221558 2341086 09O GLO. EQ  52
 209221558 2341089 09O REC. EQ  52
 209221558 2900060 09O GLO. EQ  52
 209221558 2341093 10I GLO. EQ  52
 209221558 2900061 10I GLO. EQ  52
 209221558 2312052 10P GLO. EQ  52
 209221558 2312057 10P GLO. EQ  52
 209221558 2342000 10P GLO. EQ  52
 209221558 2352035 10O REC. EQ  52
 209221558 2352038 10O GLO. EQ  52
 209221558 2900056 10O REC. EQ  52
 209221558 2312061 11I GLO. EQ  52
 209221558 2312079 11I GLO. EQ  52
 209221558 2352034 11P GLO. EQ  52
 209221558 2312047 11O GLO. EQ  52
 209221558 2300035 12I GLO. EQ  52
 209221558 2312053 12I GLO. EQ  52
 209221558 2900057 12I GLO. EQ  52
 209221558 2312054 12O GLO. EQ  52
 209221558 2312081 12O GLO. EQ  52
 209221558 2312055 13I GLO. NA  52 BE01
 209221558 2312055 13I REC. S   52 J1255
 209221558 2312058 13I GLO. B   52 BG01
 209221558 2352036 13I GLO. S   52 BC01
 209221558 2312049 13P GLO. NA  52 BC51
 209221558 2342030 13P GLO. NA  52 BI04
 209221558 2342025 13O GLO. B   52 BH03
 209221558 2351096 13O GLO. NA  52 BK05
 209221558 2312087 14P GLO. NA  52 BI01
 209221558 2312090 14P GLO. S   52 BI01
 209221558 2331087 14O GLO. NA  52 BI07
 209221558 2312087 14O GLO. S   52 BI01
 209221558 2312063 14O GLO. S   52 BH01
 209221558 2312049 15I GLO. NA  52 BC01A
 209221558 2312066 15I GLO. NA  52 BI51
 209221558 2312064 15I GLO. NA  52 BI01
 209221558 2312049 15I REC. NA  52 J12049
 209221558 2312064 15P GLO. NA  52 BI51
 209221558 2321071 15P GLO. NA  52 BG06B
 209221558 2342013 15O GLO. NA  52 BF02
 209221558 2312048 15O GLO. S   52 BB01A
 209221558 2312062 16I GLO. NA  52 BH51
 209221558 2312056 16I GLO. S   52 BB51A
 209221558 2312060 16P GLO. NA  52 BG01B
 209221558 2312064 16P REC. MB  52 J12064
 209221558 2321088 16O GLO. MB  52 BE06
 209221558 2312066 16O GLO. MB  52 BI01
 209221558 2312094 17I GLO. MB  52 BE01E
 209221558 2312095 17I GLO. MB  52 BF01B
 209221558 2312067 17P GLO. MB  52 BJ12
 209221558 2312060 17P GLO. NA  52 BG01A
 209221558 2312062 17P GLO. NA  52 BH01
 209221558 2312049 17P REC. B   52 J12049
 209221558 2312068 17O GLO. MB  52 BK12
 209221558 2312050 17O GLO. NA  52 BD51
 209221558 2312069 18I GLO. MB  52 BL12
 209221558 2312050 18I GLO. NA  52 BD01
 209221558 2312062 18I REC. S   52 J12062
 209221558 2312059 18O GLO. S   52 BG01
 209221558 2312050 18O REC. S   52 J12050
 209221558 2312051 20O GLO. MB  52 BE51
 209222708 2300033 09P GLO. EQ  56
 209222708 2300034 09P GLO. EQ  56
 209222708 2300035 09P GLO. EQ  56
 209222708 2255065 10I GLO. EQ  56
 209222708 2331064 10I GLO. EQ  56
 209222708 2900057 10I GLO. EQ  56
 209222708 2331063 10O GLO. EQ  56
 209222708 2331065 13I GLO. S   56 BD08
 209222708 2255066 13O GLO. NA  56 HF01
 209222708 2341086 14P GLO. AO  52
 209222708 2352035 14P GLO. AO  52
 209222708 2312047 14O GLO. B   52 BA01A
 209222708 2312056 14O GLO. S   52 BB51A
 209222708 2352036 14O GLO. NA  52 BF51
 209222708 2312052 15I GLO. MB  52 BB01
 209222708 2352038 15I GLO. MB  52 BC51
 209222708 2312053 15P GLO. B   52 BC01A
 209222708 2312054 15P GLO. NA  52 BD01
 209222708 2341089 15P GLO. S   52 BC51
 209222708 2342000 15P GLO. S   52 BD01
 209222708 2312048 15O GLO. B   52 BB51A
 209222708 2312054 15O GLO. S   52 BD01
 209222708 2341093 15O GLO. MB  52 BD51
 209222708 2000008 16I GLO. MB  52 MDEX301
 209222708 2312049 16I GLO. S   52 BC01A
 209222708 2312057 16I GLO. B   52 BF51
 209222708 2312063 16I GLO. B   52 BH51
 209222708 2141097 16P GLO. NA  52 CL01
 209222708 2312058 16P GLO. S   52 BG51
 209222708 2312061 16P GLO. NA  52 BH01
 209222708 2352034 16P GLO. MB  52 BF51
 209222708 2212001 16O GLO. NA  52 HA54
 209222708 2312055 16O GLO. NA  52 BE51
 209222708 2312059 16O GLO. B   52 BG51
 209222708 2312061 16O GLO. S   52 BH01A
 209222708 2312050 17I GLO. MB  52 BD01A
 209222708 2312066 17I GLO. B   52 BI51A
 209222708 2312094 17I GLO. B   52 BE01B
 209222708 2255183 17P GLO. NA  52 HA02
 209222708 2312051 17P GLO. NA  52 BE51
 209222708 2312060 17P GLO. NA  52 BG01A
 209222708 2312095 17P GLO. NA  52 BF01B
 209222708 2312051 17O GLO. B   52 BE01
 209222708 2312095 17O GLO. MB  52 BF01A
 209222708 2312096 17O REC. MB  52 J12096
 209222708 2331087 17O GLO. NA  52 BG07
 209222708 2352036 17O REC. MB  52 J52036
 209222708 2211082 18I GLO. MB  52 HC13
 209222708 2312062 18I GLO. NA  52 BH01A
 209222708 2312062 18I REC. S   52 J12062
 209222708 2312064 18I GLO. B   52 BI01
 209222708 2211093 18P GLO. MB  52 HF10
 209222708 2292077 18P REC. B   52 J92077
 209222708 2312065 18P GLO. B   52 BI51
 209222708 2312055 18O GLO. S   52 BE51
 209222708 2312060 18O GLO. MB  52 BG01
 209222708 2312081 18O REC. MB  52 J12081
 209222708 2312087 18O GLO. B   52 BI51
 209222708 2312067 19I GLO. MB  52 BJ15
 209222708 2312072 19I GLO. MB  52 BE01
 209222708 2312089 19I GLO. MB  52 BI01
 209222708 2352032 19I GLO. MB  52 BL55
 209222708 2312068 19O GLO. MB  52 BK17
 209222708 2342025 19O GLO. B   52 BE52
 209222708 2312069 20I GLO. MB  52 BL17
 210221553 2255066 10P GLO. EQ  52
 210221553 2300033 10P GLO. EQ  52
 210221553 2300034 10O GLO. EQ  52
 210221553 2341089 11I GLO. EQ  52
 210221553 2900061 11I GLO. EQ  52
 210221553 2341086 12I GLO. EQ  52
 210221553 2900060 12I GLO. EQ  52
 210221553 2352034 12P GLO. EQ  52
 210221553 2312052 13I GLO. B   52 BB51
 210221553 2341093 13I GLO. NA  52 BD02
 210221553 2255065 13P GLO. NA  52 HE01
 210221553 2255065 13O GLO. NA  52 HE07
 210221553 2341093 13O GLO. NA  52 BD01
 210221553 2300035 14P GLO. NA  52 BA06A
 210221553 2352038 14P GLO. NA  52 BE55
 210221553 2300035 14O GLO. NA  52 BA05A
